Timestamp,Fatigue Score,Driver State,EAR,MAR,Yaw,Pitch,Distracted,Yawning,Drowsy
2026-05-24 10:00:38,0,NORMAL,0.269,0.045,-9.61,90.0,True,False,False
2026-05-24 10:00:43,100,DANGER,0.271,0.066,-6.49,-54.0,True,False,False
2026-05-24 10:00:48,46,TIRED,0.334,0.052,-10.81,0.0,True,False,False
2026-05-24 10:00:59,0,NORMAL,0.255,0.975,-7.28,90.0,False,True,False
2026-05-24 10:01:04,95,DANGER,0.302,0.055,-7.61,90.0,True,False,False
2026-05-24 10:01:09,100,DANGER,0.353,0.05,-12.69,-90.0,True,False,False
2026-05-24 10:01:14,100,DANGER,0.29,0.051,-10.17,-90.0,True,False,False
2026-05-24 10:01:32,0,NORMAL,0.465,0.115,-34.8,43.45,True,False,False
2026-05-24 10:01:37,100,DANGER,0.263,0.06,-7.54,-90.0,True,False,False
2026-05-24 10:01:42,68,DROWSY,0.283,0.051,-5.33,-90.0,False,False,False
2026-05-24 10:22:45,0,NORMAL,0.257,0.05,-6.09,90.0,True,False,False
2026-05-24 10:22:50,100,DANGER,0.281,0.063,-10.89,90.0,True,False,False
2026-05-24 10:22:55,100,DANGER,0.333,0.06,-12.51,90.0,True,False,False
2026-05-24 10:23:00,100,DANGER,0.261,0.058,-6.19,-72.0,True,False,False
2026-05-24 10:23:05,100,DANGER,0.244,0.052,-6.82,18.0,True,False,False
2026-05-24 10:23:10,100,DANGER,0.302,0.05,-10.13,90.0,True,False,False
2026-05-24 10:23:15,100,DANGER,0.373,0.103,-54.05,71.66,True,False,False
2026-05-24 10:23:20,100,DANGER,0.245,0.05,-2.61,90.0,True,False,False
2026-05-24 10:23:25,100,DANGER,0.247,0.049,-2.77,90.0,True,False,False
2026-05-24 10:23:30,100,DANGER,0.259,0.057,-2.36,90.0,True,False,False
2026-05-24 10:23:35,100,DANGER,0.264,1.25,-7.36,90.0,True,False,False
2026-05-24 10:23:40,100,DANGER,0.219,0.296,-15.2,90.0,True,False,False
2026-05-24 10:23:45,100,DANGER,0.217,0.055,-7.52,90.0,True,False,False
2026-05-24 10:23:50,100,DANGER,0.253,0.051,-7.37,90.0,True,False,False
2026-05-24 10:23:55,100,DANGER,0.125,0.066,-17.24,90.0,True,False,True
2026-05-24 10:24:00,100,DANGER,0.249,0.047,-18.42,90.0,True,False,False
2026-05-24 10:30:13,0,NORMAL,0.262,0.046,-8.52,-35.0,True,False,False
2026-05-24 10:30:18,100,DANGER,0.254,0.061,-5.61,-35.0,True,False,False
2026-05-24 10:30:23,100,DANGER,0.3,0.06,0.02,35.0,True,False,False
2026-05-24 10:30:28,100,DANGER,0.203,0.071,-3.43,-35.0,True,False,True
2026-05-24 10:30:33,100,DANGER,0.295,0.032,-37.6,-16.33,True,False,False
2026-05-24 10:30:38,100,DANGER,0.407,0.11,-20.31,-21.0,True,True,False
2026-05-24 10:30:43,100,DANGER,0.265,0.07,-0.4,-35.0,True,False,False
2026-05-24 10:30:48,100,DANGER,0.301,0.041,-38.84,-30.33,True,False,False
2026-05-24 10:30:53,100,DANGER,0.246,0.051,-7.79,-35.0,True,False,False
2026-05-24 10:30:58,100,DANGER,0.243,0.065,1.44,-35.0,True,False,False
2026-05-24 10:31:03,100,DANGER,0.285,0.061,2.06,-35.0,True,False,False
2026-05-24 10:31:08,100,DANGER,0.262,0.051,-5.44,35.0,True,False,False
2026-05-24 10:31:13,100,DANGER,0.296,0.05,-2.6,-25.67,True,False,False
2026-05-24 10:31:18,100,DANGER,0.25,0.043,-3.25,35.0,True,False,False
2026-05-24 10:31:23,100,DANGER,0.262,0.062,-10.31,-35.0,True,False,False
2026-05-24 10:34:38,0,NORMAL,0.302,0.048,-5.89,30.33,True,False,False
2026-05-24 10:34:43,84,DANGER,0.366,0.087,22.51,25.67,False,False,False
2026-05-24 10:34:49,0,NORMAL,0.217,0.054,2.63,35.0,True,False,False
2026-05-24 10:34:54,100,DANGER,0.328,0.118,3.63,35.0,True,False,False
2026-05-24 10:34:59,100,DANGER,0.238,1.232,0.08,-35.0,True,True,False
2026-05-24 10:35:04,100,DANGER,0.372,0.128,14.51,2.33,False,True,False
2026-05-24 10:35:09,65,DROWSY,0.327,0.03,-34.72,-22.71,False,False,False
2026-05-24 10:35:14,100,DANGER,0.401,0.106,-1.38,2.33,True,True,False
2026-05-24 10:35:19,100,DANGER,0.276,0.048,2.99,35.0,True,False,False
2026-05-24 10:35:24,54,DROWSY,0.264,0.055,-0.12,35.0,True,False,False
2026-05-24 10:35:29,100,DANGER,0.298,0.103,4.36,35.0,True,False,False
2026-05-24 10:35:34,100,DANGER,0.327,0.044,-6.22,35.0,True,False,False
2026-05-24 10:35:39,100,DANGER,0.272,0.052,-2.08,35.0,True,False,False
2026-05-24 10:35:44,100,DANGER,0.278,0.046,2.42,35.0,True,False,False
2026-05-24 10:41:24,0,NORMAL,0.26,1.146,-3.65,-35.0,False,True,False
2026-05-24 10:41:29,100,DANGER,0.186,0.068,4.4,-30.33,False,False,False
2026-05-24 10:41:34,64,DROWSY,0.27,0.043,2.88,-25.67,False,False,False
2026-05-24 10:44:44,0,NORMAL,0.365,0.212,36.5,25.67,False,True,False
2026-05-24 10:44:49,33,TIRED,0.422,0.116,39.0,-2.33,False,True,False
2026-05-24 10:44:55,92,DANGER,0.11,0.048,-17.56,-35.0,False,False,False
2026-05-24 10:52:43,0,NORMAL,0.222,1.333,-1.55,-35.0,False,True,False
2026-05-24 10:52:48,100,DANGER,0.299,0.053,1.69,-2.33,False,False,False
